"ACADIAN REDFISH","ALEWIFE","AMERICAN LOBSTER","AMERICAN PLAICE","ATLANTIC ANGEL SHARK","ATLANTIC COD","ATLANTIC CROAKER","ATLANTIC HALIBUT","ATLANTIC HERRING","ATLANTIC MACKEREL","ATLANTIC ROCK CRAB","ATLANTIC SHARPNOSE SHARK","ATLANTIC WOLFFISH","BARNDOOR SKATE","BASKING SHARK","BEARDFISH","BLACK SEA BASS","BLACKBELLY ROSEFISH","BLUEFISH","BLUNTNOSE STINGRAY","BULLNOSE RAY","BUTTERFISH","CHAIN DOGFISH","CHUB MACKEREL","CLEARNOSE SKATE","COARSEHAND LADY CRAB","COBIA","COWNOSE RAY","CUSK","DUSKY SHARK","FAWN CUSK-EEL","FOURSPOT FLOUNDER","GOOSEFISH","HADDOCK","HORSESHOE CRAB","JOHN DORY","LITTLE SKATE","LOGGERHEAD SEATURTLE","LONGFIN SQUID","LONGHORN SCULPIN","NORTHERN SEAROBIN","NORTHERN SHORTFIN SQUID","NORTHERN SHRIMP","OCEAN POUT","OCEAN SUNFISH","OFFSHORE HAKE","POLLOCK","RED HAKE","ROSETTE SKATE","ROUGHTAIL STINGRAY","ROUND HERRING","SANDBAR SHARK","SCUP","SEA RAVEN","SEA SCALLOP","SHRIMP UNCL","SILVER HAKE","SMOOTH DOGFISH","SMOOTH SKATE","SOUTHERN EAGLE RAY","SOUTHERN STINGRAY","SPINY BUTTERFLY RAY","SPINY DOGFISH","SPOT","SPOTTED HAKE","STRIPED ANCHOVY","STRIPED BASS","SUMMER FLOUNDER","THORNY SKATE","WEAKFISH","WHITE HAKE","WINDOWPANE","WINTER FLOUNDER","WINTER SKATE","WITCH FLOUNDER","YELLOWTAIL FLOUNDER"
0.0134026249911009,0.00446754166370029,0.101335426786213,0.0806016825646356,0,0.1768232447357,0,0,0.0161079505437431,0.0223377083185014,0.0175887291187259,0,0.034605428923998,0,0,0,0.0186890676344678,0.0031590290056359,0.101039556295509,0,0,0.101483038556792,0,0,0,0,0,0,0,0,0.0113900410604983,0.0777660294770157,0.0773800914645969,0.145453990685997,0,0,0.313004462656751,0,0.144484745537251,0.171728605679755,0.0229980783044539,0.0520041807361646,0,0.0357403333096023,0,0,0.0535266680132502,0.164038493733885,0,0,0,0,0.0289529790817752,0.0727948866421014,0.0465354031258291,0.0207151385009443,0.254904475807627,0.0211914107984863,0.0146410003849287,0,0,0,0.548516971412898,0,0.0118200042139707,0.0031590290056359,0,0.0184201461662839,0.0286062243085804,0,0.0606829655782219,0.143464790313993,0.181277350077965,0.515250704501166,0.0109431974806903,0.115811916327101
0,0.0116609943366991,0.0779340698183425,0.0166431315948219,0,0.190113550529878,0,0,0.00549704544723858,0.00593748769181945,0.00448831881287462,0,0.0140147710012879,0,0,0,0,0,0.0526302032375478,0,0,0.13797474569237,0,0,0,0,0,0,0,0,0.0031737206687108,0.0517131464468859,0.056014146856443,0.0454806463460373,0,0.00839687562019439,0.127288357529315,0,0.14601460681176,0.093394246726409,0.0164911363417157,0.0228860252100733,0,0.0216418895676787,0,0.00501809298513941,0.0108093030970005,0.0744296705663968,0,0,0.0160265037833133,0,0.0288267495192864,0.0886655993053855,0.0170910088528168,0.0145438151990131,0.0868289606521182,0.0166431315948219,0,0,0,0,0.754481586376649,0,0.00224415940643731,0,0,0.0266479164898806,0.0114430126050367,0,0.0386099783305341,0.104483878180723,0.14272747967973,0.497266024755218,0.0114430126050367,0.0811678673226914
0,0.00250688860183244,0.0704609641218309,0.0180774307915662,0,0.141440512186842,0,0,0.00434205842728909,0.00831440888349686,0.00868411685457818,0,0,0.00903871539578309,0,0,0,0.00250688860183244,0.0739425905817327,0,0,0.0773894011495342,0,0,0,0.00354527586006996,0,0,0,0,0.00250688860183244,0.0630222022146351,0.046966542901954,0.0939431208539665,0,0.00434205842728909,0.19506847494849,0,0.166114996614263,0.0744782216911898,0.0158549556442109,0.0411160301376154,0,0.0192557767243455,0,0,0,0.0666502432701298,0,0,0.00434205842728909,0,0.0168167199771502,0.0480904615284054,0.0451239948329839,0.00752066580549732,0.0879557147587285,0.00560557332571674,0.0198424627363676,0,0,0,0.711991670335095,0,0.00434205842728909,0,0,0.0360678461463041,0.0320058111177576,0,0.0643543255302726,0.176432604260592,0.121394770147035,0.542647756695434,0.0156555143006513,0.0560108707183624
0.0118980572252322,0.00514513597414359,0.0633508702275229,0.0220804349864535,0,0.092408159341559,0,0,0.0108331141318751,0.00651683433274702,0.0174459765083539,0,0.00651683433274702,0,0,0,0.00798145942674054,0,0.0650596387591688,0,0,0.14420720226971,0,0,0,0,0,0,0,0,0.00995462887376675,0.0671307747490288,0.0644584868292713,0.0724341567739265,0,0.0124787876938584,0.15881499864729,0,0.151446892752439,0.0950810372450601,0.0193686339011683,0.0283862810977954,0,0.0206954384643318,0,0,0.0341745675512205,0.116943134928636,0,0,0.00266048647558018,0,0.0630147889694473,0.036284197956336,0.0514513597414359,0.0193686339011683,0.109112385631995,0.0395509748472861,0.00882383539931449,0,0,0,0.78469514033117,0,0.0140779711616718,0,0,0.0284062222882406,0.0434727072145378,0,0.0802126745137653,0.102875201707414,0.0948119144631423,0.451019239509333,0,0.0587148329220068
0.0386438606308441,0.00829104421872591,0.0839992357063775,0.013413160470711,0,0.0850518027150119,0,0,0.0293469420205269,0.0143329728776859,0.015396082600372,0,0,0.0238515086032298,0,0,0.00281092724581218,0.0093227909873461,0.0926753803532412,0,0,0.108466831520424,0,0,0,0,0,0,0,0,0.0186455819746922,0.0529977205462129,0.0567083236956308,0.028491767108299,0,0.00281092724581218,0.155104357220128,0,0.156897841104271,0.0997063273904318,0.0256087659687789,0.0341258607644749,0,0.0247329653213745,0,0,0.00743701444591475,0.124974723122618,0,0,0,0,0.03566666831905,0.0601564700378284,0.079753094892334,0.0578805345522109,0.126865962755204,0.0324171944113945,0.0166296698507133,0,0,0,0.728868719230508,0,0.0119257543016149,0,0,0.037607643433797,0.0404422004856139,0,0.079106504720847,0.115467198100413,0.090081337716216,0.528979465453353,0.0112437089832487,0.0601400495461788
0.00575976762340696,0.00997621016353111,0.0792883845391942,0.0209658706175614,0,0.144855579268963,0,0,0.0709527629957386,0.00863965143511045,0.0263945711196183,0,0,0.00910699224163048,0,0,0.00407277074456979,0.00407277074456979,0.10775538537111,0,0,0.0769527372417838,0,0,0,0,0,0,0.0122183122337094,0,0.00814554148913958,0.0760311143278297,0.0276228751352911,0.0805853038218379,0,0,0.169913144890505,0,0.0749876620606496,0.1137098336501,0.0310172979028439,0.0616322049918839,0,0.034797768495424,0,0.0252708778875251,0.00761945637052818,0.0752085393050406,0,0,0.00287988381170348,0,0.0290854007782083,0.102953328856668,0.0553956711711065,0.0255969672177004,0.121945312614544,0.0267069437810921,0.0179848686397082,0,0,0,0.737851861055914,0,0.036541629052285,0,0,0.0315475465332792,0.0286544821297169,0,0.0570914721493703,0.0938948124624211,0.0894156387956321,0.522800054982292,0.0128792319405404,0.0590200552604193
0.00311089020734351,0,0.0958840757792369,0.0356057658611789,0,0.137900538209306,0,0,0.0960857249520813,0.00933267062203052,0.0210990839274766,0,0.0184042746631075,0.00439946312227884,0,0,0,0.0069561619741585,0.0864357359256951,0,0,0.0705973335849524,0,0,0,0,0,0,0,0,0.0120484259649211,0.0636783344051889,0.0515882779087466,0.0997912289769394,0,0,0.156783928451389,0,0.172787478905213,0.0969380543623788,0.0201608727750095,0.171522649121692,0,0.0543293618042256,0,0,0.018665341244061,0.0906972557458265,0,0,0.0483940943450672,0,0.0238952010882227,0.0738140239226127,0.0615924837119037,0.0155544510367175,0.135028403567407,0.0998397066232173,0.0135600560382606,0,0,0,0.748600679161736,0,0.0120484259649211,0,0,0.030952966745248,0.0658451347572566,0,0.0474856781202496,0.1044351372536,0.103504324235924,0.439891315501345,0.00879892624455767,0.0424268858871247
0.00351647244179968,0,0.131292103101853,0.0399440932470727,0,0.161265058124087,0,0.00609070893261283,0.0540805566834762,0.00497304301890434,0.027911134719642,0,0,0.0161145011437732,0,0,0.00786307142086875,0.0121814178652257,0.0819421081595267,0,0,0.0835855957397815,0,0,0,0,0,0,0,0,0.0153279480115505,0.080055180911298,0.0640731772278147,0.153118048285445,0,0,0.20414962456376,0,0.268892900501282,0.169151097127285,0.0238498764768517,0.127099927876041,0,0.0431280686796052,0,0.00497304301890434,0.0285679571660246,0.194184435206445,0,0,0.00861356317696803,0,0.0394723052617403,0.0918331339547157,0.0602949422387762,0.0300447537130423,0.140614934896207,0.0404011924734856,0.018607423146428,0,0,0,0.642397151002293,0,0.0168644093872433,0,0,0.03704833607825,0.0533299450572135,0,0.0703294488359936,0.0906677260268561,0.0857759824670768,0.468921303448614,0.0161145011437732,0.0953508864329634
0.00313878645312209,0,0.0675750909330748,0.027592771611073,0,0.205110628773719,0,0.0177556574855928,0.0636283963720487,0.0101708305551798,0.0110972859284955,0,0.0429222591959302,0.0202202172720662,0,0,0.00543653761091637,0.011532637832564,0.0843393730565659,0,0,0.107866532577976,0,0,0,0,0,0,0,0,0.0207017184631173,0.0620003686425312,0.0494794616884444,0.0420327924938093,0,0,0.113945730097759,0,0.107188523361882,0.175702385748708,0.0113170554994634,0.0911780997795074,0,0.0364085699058839,0,0,0.044940582791638,0.0913424608805491,0,0,0.0277210113644437,0,0.0272731465011256,0.0494296584934499,0.0964379048714654,0.0239042854547372,0.118590480303341,0.0893589957017445,0.00830444837349955,0,0,0,0.780270526019909,0,0.0123574146233625,0,0,0.0215184357870229,0.0711612108154971,0,0.060171445024831,0.0867577836525537,0.0553531020257416,0.418765873741609,0.0136816529545137,0.0516447228023398
0.0284942398657376,0.00387674980069477,0.101766008460267,0.0285744564594143,0,0.096135327140574,0,0,0.155692032208247,0.100355787747921,0.0163634169269317,0,0,0,0,0,0,0.00831262411150956,0.061997354006609,0,0,0.108303635236162,0,0,0,0,0,0,0,0,0.0109965680707068,0.0607703423970182,0.0266133824625378,0.051850721702653,0,0,0.160957980548328,0,0.221557164341441,0.125786992267748,0.0124689361672643,0.0768884029748632,0,0.0652329171772386,0,0.0173871007742585,0.0050904218741887,0.105041691028621,0,0,0.00974741578452817,0,0.0441822031959002,0.0961806891430245,0.043093560595144,0.00929379629236959,0.0955499892971916,0.0627589357645368,0.0188185032095716,0,0,0,0.782607293001717,0,0.0235116515148129,0,0,0.0194948315690563,0.0839019304677259,0,0.0835408384058017,0.0640126032389055,0.0934939277805524,0.370799644494835,0.00929379629236959,0.0657039190856425
